fid;DN;Longitud;Latitud
1217;4;-3.11;43.25
1218;4;-2.67;43.25
1219;4;-2.54;43.25
1221;4;-2.39;43.25
1222;5;-2.09;43.25
1223;5;-1.90;43.25
1224;7;-1.80;43.25
1225;8;-1.77;43.25
1226;2;-1.52;43.25
1227;5;-1.51;43.25
1231;12;-3.61;43.25
1232;9;-3.59;43.25
1234;5;-6.97;43.25
1235;5;-6.92;43.27
1237;5;-6.02;43.25
1239;3;-5.88;43.25
1240;4;-5.63;43.25
1241;3;-5.22;43.25
1243;3;-4.45;43.25
1244;5;-3.70;43.25
1245;9;-3.68;43.25
1246;11;-3.66;43.25
1247;8;-3.54;43.25
1248;4;-2.71;43.25
1249;5;-1.83;43.25
1250;3;-1.42;43.25
1251;4;-7.87;43.24
1252;4;-7.77;43.24
1253;4;-7.67;43.24
1255;4;-7.10;43.24
1257;4;-7.00;43.24
1258;8;-6.98;43.24
1259;4;-6.97;43.24
1260;9;-6.95;43.24
1261;8;-6.47;43.24
1262;8;-6.45;43.24
1264;4;-6.27;43.24
1265;3;-6.00;43.24
1266;3;-5.96;43.24
1268;7;-5.89;43.24
1270;4;-5.78;43.24
1272;4;-5.69;43.25
1275;4;-5.30;43.24
1276;3;-5.28;43.25
1277;7;-5.26;43.24
1278;4;-5.23;43.24
1279;7;-5.14;43.24
1280;4;-5.07;43.25
1285;9;-4.69;43.24
1286;8;-4.66;43.24
1287;8;-4.63;43.24
1288;5;-4.60;43.24
1289;9;-4.58;43.24
1290;7;-4.49;43.24
1294;5;-3.97;43.24
1295;5;-3.77;43.24
1296;6;-3.71;43.24
1297;8;-3.56;43.24
1298;14;-3.52;43.24
1299;11;-3.50;43.24
1300;6;-3.48;43.24
1301;4;-3.47;43.24
1302;2;-3.20;43.24
1303;4;-3.13;43.24
1304;4;-2.94;43.24
1305;4;-2.79;43.24
1306;9;-2.63;43.24
1307;4;-2.53;43.24
1308;4;-2.45;43.24
1309;4;-2.41;43.24
1311;2;-2.20;43.24
1312;9;-2.16;43.24
1313;5;-1.95;43.25
1314;5;-1.93;43.24
1315;7;-1.81;43.24
1318;4;-1.51;43.24
1319;7;-1.43;43.24
1320;4;-1.40;43.24
1322;3;-5.34;43.25
1323;4;-7.06;43.26
1324;7;-6.01;43.25
1326;2;-3.45;43.25
1327;6;-3.42;43.25
1328;4;-3.01;43.25
1329;9;-2.11;43.24
1330;10;-1.99;43.25
1331;9;-6.90;43.25
1332;9;-6.82;43.28
1333;4;-6.33;43.25
1335;10;-4.85;43.24
1336;14;-4.64;43.24
1337;9;-4.62;43.24
1338;14;-4.61;43.24
1339;7;-4.54;43.24
1340;5;-3.91;43.24
1341;4;-3.10;43.24
1342;4;-3.07;43.24
1343;4;-2.97;43.25
1344;4;-2.76;43.24
1345;4;-2.50;43.24
1346;4;-2.35;43.24
1347;9;-2.14;43.24
1348;5;-2.07;43.24
1350;2;-1.73;43.24
1351;5;-1.49;43.24
1352;4;-1.38;43.24
1353;9;-7.68;43.23
1355;8;-6.97;43.23
1357;13;-6.86;43.23
1358;5;-6.85;43.23
1359;13;-6.78;43.23
1361;4;-6.35;43.23
1363;4;-6.14;43.24
1365;3;-5.99;43.23
1367;7;-5.86;43.23
